data_publicacao;uf;municipio;orgao;modalidade;itens_servidor;valor_estimado;no_grupo_1bit;numero_controle_pncp;link_pncp;link_portal_origem
2025-08-12;MG;Guaxupé;Municipio De Guaxupe;Pregão - Eletrônico;2;38160,00;nao;18663401000197-1-000241/2025;https://pncp.gov.br/app/editais/18663401000197/2025/241;https://app2.ammlicita.org.br/pesquisa/72166
2025-08-12;PE;Custódia;Municipio De Custodia;Pregão - Eletrônico;2;160458,60;nao;11358165000156-1-000040/2025;https://pncp.gov.br/app/editais/11358165000156/2025/40;https://portaldecompraspublicas.com.br/processos/PE/Prefeitura-Municipal-de-Custodia-1336/RPE-018-PMC-2025-2025-412658
2025-08-08;MA;Açailândia;Municipio De Acailandia - Secretaria De Educacao, Cultura, Desporto E ;Pregão - Eletrônico;1;27987,00;nao;06081359000117-1-000013/2025;https://pncp.gov.br/app/editais/06081359000117/2025/13;https://portal.licitanet.com.br/acesso-visitante/Wkpla25KS2o=
2025-08-07;MG;Lima Duarte;Municipio De Lima Duarte;Pregão - Eletrônico;1;9602,01;nao;18338186000159-1-000102/2025;https://pncp.gov.br/app/editais/18338186000159/2025/102;https://portaldecompraspublicas.com.br/processos/MG/Prefeitura-Municipal-de-Lima-Duarte-1658/PE-40-2025-2025-411504
2025-08-07;MG;Rio Paranaíba;Municipio De Rio Paranaiba;Pregão - Eletrônico;1;4692,00;nao;18602045000100-1-000049/2025;https://pncp.gov.br/app/editais/18602045000100/2025/49;https://portal.licitanet.com.br/acesso-visitante/WkplbW5KZWk=
2025-08-06;SP;Dois Córregos;Municipio De Dois Corregos;Pregão - Eletrônico;4;;nao;45671120000159-1-000192/2025;https://pncp.gov.br/app/editais/45671120000159/2025/192;https://app2.licitardigital.com.br/pesquisa/72521
2025-08-06;SP;Dois Córregos;Municipio De Dois Corregos;Pregão - Eletrônico;4;;nao;45671120000159-1-000193/2025;https://pncp.gov.br/app/editais/45671120000159/2025/193;
2025-08-05;MG;Congonhas Do Norte;Municipio De Congonhas Do Norte;Pregão - Eletrônico;3;88251,73;sim;18303180000146-1-000070/2025;https://pncp.gov.br/app/editais/18303180000146/2025/70;https://app2.licitardigital.com.br/pesquisa/72267
2025-08-05;MG;Carangola;Municipio De Carangola;Pregão - Eletrônico;1;43698,99;sim;19279827000104-1-000165/2025;https://pncp.gov.br/app/editais/19279827000104/2025/165;
2025-08-04;MS;Campo Grande;Secretaria De Estado De Justica E Seguranca Publica - Ms;Pregão - Eletrônico;2;677787,38;nao;03015475000140-1-000060/2025;https://pncp.gov.br/app/editais/03015475000140/2025/60;
2025-08-04;MG;Januária;Municipio De Januaria;Pregão - Eletrônico;1;42878,00;nao;21461546000110-1-000078/2025;https://pncp.gov.br/app/editais/21461546000110/2025/78;https://portaldecompraspublicas.com.br/processos/MG/Prefeitura-Municipal-de-Januaria-1405/RPE-24-2025-2025-409537
2025-08-01;MG;Brumadinho;Municipio De Brumadinho;Pregão - Eletrônico;1;148839,25;nao;18363929000140-1-000104/2025;https://pncp.gov.br/app/editais/18363929000140/2025/104;https://app2.licitardigital.com.br/pesquisa/72221
2025-08-01;BA;Jussara;Municipio De Jussara;Pregão - Eletrônico;1;;nao;13717277000181-1-000014/2025;https://pncp.gov.br/app/editais/13717277000181/2025/14;https://bnccompras.com/Process/ProcessView?param1=[gkz]qcnmC6EQqdisg3x2RFvK3zgkbOit5K3zp3lXAJbNJQWWfTXs0GE/xulb67w/3YGDauS_f4emIKiSmXZR5d4AFXlgegOn/1kOmBUe2NeS5uA=
2025-07-31;PR;Curitiba;Parana Assembleia Legislativa;Pregão - Eletrônico;1;7800,00;nao;77799542000109-1-000080/2025;https://pncp.gov.br/app/editais/77799542000109/2025/80;
2025-07-31;RS;Salvador Do Sul;Municipio De Salvador Do Sul;Pregão - Eletrônico;1;133824,20;nao;87860763000190-1-000237/2025;https://pncp.gov.br/app/editais/87860763000190/2025/237;https://pregaobanrisul.com.br/editais/0034_2025/339122
2025-07-30;SE;Frei Paulo;Municipio De Frei Paulo;Pregão - Eletrônico;1;3831,80;nao;13100102000120-1-000077/2025;https://pncp.gov.br/app/editais/13100102000120/2025/77;
2025-07-30;SE;Simão Dias;Municipio De Simao Dias;Pregão - Eletrônico;1;18500,00;nao;13108089000156-1-000103/2025;https://pncp.gov.br/app/editais/13108089000156/2025/103;
2025-07-20;SP;Campinas;Camara Municipal De Campinas;Dispensa;1;1456,00;nao;49425994000187-1-000052/2025;https://pncp.gov.br/app/editais/49425994000187/2025/52;
2025-07-17;MT;Colniza;Municipio De Colniza;Pregão - Presencial;1;3851,82;nao;04213687000102-1-000042/2025;https://pncp.gov.br/app/editais/04213687000102/2025/42;http://170.79.84.5:8079/comprasedital/
2025-06-16;RS;Santa Bárbara Do Sul;Municipio De Santa Barbara Do Sul;Pregão - Eletrônico;1;49,10;nao;88496468000160-1-000173/2025;https://pncp.gov.br/app/editais/88496468000160/2025/173;
2025-06-09;MG;Dores Do Indaiá;Municipio De Dores Do Indaia;Pregão - Eletrônico;1;1213,09;nao;18301010000122-1-000058/2025;https://pncp.gov.br/app/editais/18301010000122/2025/58;
2025-06-06;SP;Ferraz De Vasconcelos;Municipio De Ferraz De Vasconcelos;Dispensa;1;30800,00;nao;46523197000144-1-000138/2025;https://pncp.gov.br/app/editais/46523197000144/2025/138;
2025-06-04;SC;Seara;Municipio De Seara;Pregão - Presencial;1;7299,96;nao;83024505000113-1-000267/2025;https://pncp.gov.br/app/editais/83024505000113/2025/267;
2025-06-03;RN;Natal;Rio G Do Norte Assembleia Legislativa Do Rio G Do Norte;Dispensa;1;57900,00;nao;08493371000164-1-000068/2025;https://pncp.gov.br/app/editais/08493371000164/2025/68;
2025-06-02;MG;Paraisópolis;Municipio De Paraisopolis;Pregão - Eletrônico;1;;nao;18025965000102-1-000039/2025;https://pncp.gov.br/app/editais/18025965000102/2025/39;https://portaldecompraspublicas.com.br/processos/MG/Prefeitura-Municipal-de-Paraisopolis-2733/RPE-107-2025-2025-392954
2025-05-29;PA;Abaetetuba;Camara Municipal De Abaetetuba;Pregão - Presencial;1;7066,30;nao;04363065000152-1-000021/2025;https://pncp.gov.br/app/editais/04363065000152/2025/21;https://www.governotransparente.com.br/transparencia/43539488/consultarlicitacao?datainfo=MTIwMjMxMDIzMTkyNFBQUA==&clean=false
2025-05-28;AL;Pão De Açúcar;Municipio De Pao De Acucar;Dispensa;1;2570,67;nao;12369880000157-1-000026/2025;https://pncp.gov.br/app/editais/12369880000157/2025/26;
2025-05-22;RJ;Rio De Janeiro;Estado Do Rio De Janeiro;Dispensa;1;21108,00;nao;42498600000171-1-002419/2025;https://pncp.gov.br/app/editais/42498600000171/2025/2419;https://www.compras.rj.gov.br/EditaisLicitacoes/detalhar.action?idLic=33948
2025-05-21;PA;Abaetetuba;Municipio De Abaetetuba;Pregão - Presencial;1;4890,17;nao;05105127000199-1-000052/2025;https://pncp.gov.br/app/editais/05105127000199/2025/52;https://www.governotransparente.com.br/transparencia/43539488/consultarlicitacao?datainfo=MTIwMjMxMDIzMTkyNFBQUA==&clean=false
2025-05-20;RJ;São Francisco De Itabapoana;Fundo Municipal De Saude;Dispensa;1;147,25;nao;11389542000114-1-000010/2025;https://pncp.gov.br/app/editais/11389542000114/2025/10;https://bnccompras.com/Process/ProcessView?param1=[gkz]nqNaN/cz/bDQycHXKHiF2HXGipxlgJEPy2KF7H_czHPb3TDR4R7ynQ0LVKA9C2Kv8Zm3Atlp0cBgccQyb1PMJlirt4Xe3Y1Xk54eKp3JOF0=
2025-05-20;ES;Alfredo Chaves;Servico Autonomo De Agua E Esgoto De Alfredo Chaves;Dispensa;1;24000,00;nao;00536717000152-1-000019/2025;https://pncp.gov.br/app/editais/00536717000152/2025/19;
2025-05-19;PI;Morro Cabeça No Tempo;Municipio De Morro Cabeca No Tempo;Pregão - Eletrônico;1;56030,00;nao;01612594000154-1-000012/2025;https://pncp.gov.br/app/editais/01612594000154/2025/12;https://bnccompras.com/Process/ProcessView?param1=[gkz]/3ENGbaqtrchHXQZxIKjdjvaIVaRi67BbGJQnq9ZDFkAunZqkcEp6thbG7SIz0C832OqSG9ANtwFGNlBWH120ULf6YFQvPdK60sWIuAaS3E=
2025-05-19;RS;Westfália;Municipio De Westfalia;Pregão - Eletrônico;1;89566,67;nao;04215147000150-1-000178/2025;https://pncp.gov.br/app/editais/04215147000150/2025/178;https://portaldecompraspublicas.com.br/processos/RS/Prefeitura-Municipal-de-Westfalia-660/RPE-08-2025-2025-389547
2025-05-16;MG;Itabirinha;Municipio De Itabirinha;Pregão - Eletrônico;1;8562,66;nao;17125444000156-1-000015/2024;https://pncp.gov.br/app/editais/17125444000156/2024/15;
2025-05-16;RO;Presidente Médici;Municipio De Presidente Medici;Pregão - Eletrônico;1;2813,00;nao;04632212000142-1-000057/2025;https://pncp.gov.br/app/editais/04632212000142/2025/57;https://portal.licitanet.com.br/acesso-visitante/WkphbG1KS2g=
2025-05-15;PB;Nova Olinda;Municipio De Nova Olinda;Pregão - Presencial;2;230466,60;nao;08889297000108-1-000034/2025;https://pncp.gov.br/app/editais/08889297000108/2025/34;
2025-05-14;MG;Uberlândia;Uberlandia Camara Municipal;Pregão - Eletrônico;1;;nao;20720165000145-1-000020/2025;https://pncp.gov.br/app/editais/20720165000145/2025/20;
